	Unnamed: 0	haul	net	category	depth	o2	salinity	temp	volume	depth_layer	D_N	on_off	abundance	biomass	latitude	longitude	integrated_abundance	integrated_biomass
311	311	mn13	n3	Eucalanidae	57.9536341316	19.728510333800003	35.144218487399996	15.8370756303	20.7142857143	16.7962420028	D	onshore	51.4137931034	5.0274298603	-15.424000000000001	-75.444	863.5585112475	84.4419285863
316	316	mn13	n4	Eucalanidae	43.032209301	98.8555745	35.1911370968	16.8416854839	21.9193548387	15.406069192999999	D	onshore	27.053715967600002	4.5690923485	-15.424000000000001	-75.444	416.79142012589995	70.3917528696
321	321	mn13	n5	Eucalanidae	19.241161734400002	202.2729116	35.196329896900004	17.7450824742	19.865979381400003	33.2015302121	D	onshore	13.2387130254	0.5102828496	-15.424000000000001	-75.444	439.5455304827	16.9421714475
326	326	mn14	n1	Eucalanidae	94.5288196802	4.4566292126	35.0536410256	14.6338717949	5.4358974359	10.4337137162	N	onshore	9.5660377358	8.9654524037	-15.43	-75.44	99.8092991339	93.5429637158
331	331	mn14	n2	Eucalanidae	75.4159653508	42.4696247469	35.0807102804	15.1992476636	35.060747663600004	21.5646894001	N	onshore	0.0	0.0	-15.43	-75.44	0.0	0.0
336	336	mn14	n3	Eucalanidae	58.5747321267	59.2557218682	35.1785486726	16.2630442478	15.8318584071	18.187608018	N	onshore	0.0	0.0	-15.43	-75.44	0.0	0.0
341	341	mn14	n4	Eucalanidae	45.0096245358	135.95468029129998	35.1960707071	17.2723232323	13.7575757576	11.032565576300001	N	onshore	28.5660792952	0.6949755552	-15.43	-75.44	315.1571430821	7.6673633863
346	346	mn14	n5	Eucalanidae	21.6790578319	203.84302421669997	35.212742268	17.879721649500002	14.8762886598	37.674244273	N	onshore	77.5058905059	3.5469340251	-15.43	-75.44	2919.9758515176	133.6280588811
351	351	mn15	n1	Eucalanidae	73.1787478563	2.9184802425	35.1151428571	15.246053571400001	45.3892857143	46.90564757479999	D	offshore	5.5079077819	1.5111245541999998	-15.860999999999999	-76.105	258.35198129180003	70.8802757814
356	356	mn15	n2	Eucalanidae	48.211836911300004	27.5475566796	35.153417582399996	16.3942857143	13.7252747253	10.6347786459	D	offshore	6.7029623699	1.1180042628	-15.860999999999999	-76.105	71.2845210758	11.88972786
361	361	mn15	n3	Eucalanidae	39.0407691034	78.2009837418	35.172625	16.929535714300002	9.642857142899999	3.3793925708	D	offshore	4.562962963	2.8584852187	-15.860999999999999	-76.105	15.4200431378	9.659943711799999
366	366	mn15	n4	Eucalanidae	36.999412233899996	138.9523004418	35.2082424242	17.5038484848	5.696969697	3.8764156218	D	offshore	0.0	0.0	-15.860999999999999	-76.105	0.0	0.0
371	371	mn15	n5	Eucalanidae	19.8718366815	206.3534010914	35.2495	18.020346153800002	21.2692307692	33.6980856594	D	offshore	18.4303797468	0.7297914237	-15.860999999999999	-76.105	621.0685154448	24.592573908000002
376	376	mn16	n1	Eucalanidae	73.7747484381	1.0165243342	35.1196847458	15.270999999999999	54.5593220339	45.613677386899994	N	offshore	3.9956508232	0.5204760498	-15.86	-76.10600000000001	182.25632760169998	23.740826621300002
381	381	mn16	n2	Eucalanidae	51.8279551481	29.6434406861	35.1561621622	16.4133513514	10.4594594595	7.3547671025	N	offshore	9.2739018088	0.5118420115	-15.86	-76.10600000000001	68.2073879351	3.7644787876
386	386	mn16	n3	Eucalanidae	44.6608427436	87.8085921047	35.1831911765	17.0115441176	9.9264705882	5.0689819743	N	offshore	11.484444444400001	0.7658889723000001	-15.86	-76.10600000000001	58.214441873999995	3.882277395
391	391	mn16	n4	Eucalanidae	39.0656176546	179.1232991623	35.2369661017	17.8835084746	9.2881355932	4.0751587543	N	offshore	0.0	0.0	-15.86	-76.10600000000001	0.0	0.0
396	396	mn16	n5	Eucalanidae	20.0887456351	207.59735490970002	35.2523333333	18.0555591398	16.8817204301	35.6860002616	N	offshore	4.0280254777	0.3460602699	-15.86	-76.10600000000001	143.7441182513	12.3495068829
